Question,Correct Answer,Incorrect Answer
"In web design, what does CSS stand for?",Cascading Style Sheet,"['Counter Strike: Source', 'Corrective Style Sheet', 'Computer Style Sheet']"
Whistler was the codename of this Microsoft Operating System.,Windows XP,"['Windows 2000', 'Windows 7', 'Windows 95']"
Who is the founder of Palantir?,Peter Thiel,"['Mark Zuckerberg', 'Marc Benioff', 'Jack Dorsey']"
The programming language 'Swift' was created to replace what other programming language?,Objective-C,"['C#', 'Ruby', 'C++']"
What does LTS stand for in the software market?,Long Term Support,"['Long Taco Service', 'Ludicrous Transfer Speed', 'Ludicrous Turbo Speed']"
Which of these programming languages is a low-level language?,Assembly,"['Python', 'C#', 'Pascal']"
"In computing terms, typically what does CLI stand for?",Command Line Interface,"['Common Language Input', 'Control Line Interface', 'Common Language Interface']"
What was the first Android version specifically optimized for tablets?,Honeycomb,"['Eclair', 'Froyo', 'Marshmellow']"
"On Twitter, what was the original character limit for a Tweet?",140,"['120', '160', '100']"
.at is the top-level domain for what country?,Austria,"['Argentina', 'Australia', 'Angola']"
"Released in 2001, the first edition of Apple's Mac OS X operating system (version 10.0) was given what animal code name?",Cheetah,"['Puma', 'Tiger', 'Leopard']"
Which of these is not a layer in the OSI model for data communications?,Connection Layer,"['Application Layer', 'Transport Layer', 'Physical Layer']"
Which computer hardware device provides an interface for all other connected devices to communicate?,Motherboard,"['Central Processing Unit', 'Hard Disk Drive', 'Random Access Memory']"
Laserjet and inkjet printers are both examples of what type of printer?,Non-impact printer,"['Impact printer', 'Daisywheel printer', 'Dot matrix printer']"
What is the main CPU is the Sega Mega Drive / Sega Genesis?,Motorola 68000,"['Zilog Z80', 'Yamaha YM2612', 'Intel 8088']"
The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?,Micronesia,"['Fiji', 'Tuvalu', 'Marshall Islands']"
How fast is USB 3.1 Gen 2 theoretically?,10 Gb/s,"['5 Gb/s', '8 Gb/s', '1 Gb/s']"
"The computer OEM manufacturer Clevo, known for its Sager notebook line, is based in which country?",Taiwan,"['United States', 'Germany', ""China (People's Republic of)""]"
What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?,Transport,"['Session', 'Data link', 'Network']"
Which one of these is not an official development name for a Ubuntu release?,Mystic Mansion,"['Trusty Tahr', 'Utopic Unicorn', 'Wily Werewolf']"
How long is an IPv6 address?,128 bits,"['32 bits', '64 bits', '128 bytes']"
What major programming language does Unreal Engine 4 use?,C++,"['Assembly', 'C#', 'ECMAScript']"
"In computing, what does MIDI stand for?",Musical Instrument Digital Interface,"['Musical Interface of Digital Instruments', 'Modular Interface of Digital Instruments', 'Musical Instrument Data Interface']"
What programming language was GitHub written in?,Ruby,"['JavaScript', 'Python', 'Lua']"
What does the acronym CDN stand for in terms of networking?,Content Delivery Network,"['Content Distribution Network', 'Computational Data Network', 'Compressed Data Network']"
How many kilobytes in one gigabyte (in decimal)?,1000000,"['1024', '1000', '1048576']"
What was the name of the first Bulgarian personal computer?,IMKO-1,"['Pravetz 82', 'Pravetz 8D', 'IZOT 1030']"
What type of sound chip does the Super Nintendo Entertainment System (SNES) have?,ADPCM Sampler,"['FM Synthesizer', 'Programmable Sound Generator (PSG)', 'PCM Sampler']"
"In ""Hexadecimal"", what color would be displayed from the color code? ""#00FF00""?",Green,"['Red', 'Blue', 'Yellow']"
What does RAID stand for?,Redundant Array of Independent Disks,"['Rapid Access for Indexed Devices', 'Range of Applications with Identical Designs', 'Randomized Abstract Identification Description']"
Which of the following languages is used as a scripting language in the Unity 3D game engine?,C#,"['Java', 'C++', 'Objective-C']"
What is the code name for the mobile operating system Android 7.0?,Nougat,"['Ice Cream Sandwich', 'Jelly Bean', 'Marshmallow']"
"In any programming language, what is the most common way to iterate through an array?",'For' loops,"[""'If' Statements"", ""'Do-while' loops"", ""'While' loops""]"
What is the number of keys on a standard Windows Keyboard?,104,"['64', '94', '76']"
"When did the online streaming service ""Mixer"" launch?",2016,"['2013', '2009', '2011']"
Who is the original author of the realtime physics engine called PhysX?,NovodeX,"['Ageia', 'Nvidia', 'AMD']"
"Who invented the ""Spanning Tree Protocol""?",Radia Perlman,"['Paul Vixie', 'Vint Cerf', 'Michael Roberts']"
What internet protocol was documented in RFC 1459?,IRC,"['HTTP', 'HTTPS', 'FTP']"
America Online (AOL) started out as which of these online service providers?,Quantum Link,"['CompuServe', 'Prodigy', 'GEnie']"
"What does the term MIME stand for, in regards to computing?",Multipurpose Internet Mail Extensions,"['Mail Internet Mail Exchange', 'Multipurpose Interleave Mail Exchange', 'Mail Interleave Method Exchange']"
How many bytes are in a single Kibibyte?,1024,"['2400', '1000', '1240']"
What does the computer software acronym JVM stand for?,Java Virtual Machine,"['Java Vendor Machine', 'Java Visual Machine', 'Just Virtual Machine']"
What amount of bits commonly equals one byte?,8,"['1', '2', '64']"
"In computing, what does LAN stand for?",Local Area Network,"['Long Antenna Node', 'Light Access Node', 'Land Address Navigation']"
Moore's law originally stated that the number of transistors on a microprocessor chip would double every...,Year,"['Four Years', 'Two Years', 'Eight Years']"
"When was the programming language ""C#"" released?",2000,"['1998', '1999', '2001']"
Which of these names was an actual codename for a cancelled Microsoft project?,Neptune,"['Enceladus', 'Pollux', 'Saturn']"
In the server hosting industry IaaS stands for...,Infrastructure as a Service,"['Internet as a Service', 'Internet and a Server', 'Infrastructure as a Server']"
Which RAID array type is associated with data mirroring?,RAID 1,"['RAID 0', 'RAID 10', 'RAID 5']"
What five letter word is the motto of the IBM Computer company?,Think,"['Click', 'Logic', 'Pixel']"
